air_date,title,total_tweets,unique_tweets
11/1/2015,60 Minutes,1687,1058
11/1/2015,Agents of SHIELD,198,154
11/1/2015,America's Funniest Home Videos,58,36
11/1/2015,Arrow,4,4
11/1/2015,Best Time Ever,24,24
11/1/2015,Blindspot,109,71
11/1/2015,Blood & Oil,1992,435
11/1/2015,Bob's Burgers,421,406
11/1/2015,Brooklyn Nine-Nine,70,62
11/1/2015,CSI: Cyber,560,184
11/1/2015,Castle,88,71
11/1/2015,Chicago Fire,54,41
11/1/2015,Crazy Ex-Girlfriend,48,35
11/1/2015,Dancing with the Stars,649,464
11/1/2015,Empire,4,4
11/1/2015,Family Guy,44,41
11/1/2015,Fresh Off the Boat,36,29
11/1/2015,Gotham,352,253
11/1/2015,Grandfathered,31,27
11/1/2015,Grey's Anatomy,2,2
11/1/2015,Jane the Virgin,166,133
11/1/2015,Life in Pieces,11,6
11/1/2015,Limitless,73,61
11/1/2015,Madam Secretary,735,309
11/1/2015,Minority Report,39,34
11/1/2015,NCIS,41,31
11/1/2015,NCIS: Los Angeles,9,9
11/1/2015,NCIS: New Orleans,4,1
11/1/2015,Once Upon a Time,11695,2738
11/1/2015,Quantico,6890,1823
11/1/2015,Rosewood,21,20
11/1/2015,Scandal,1,1
11/1/2015,Scorpion,32,9
11/1/2015,Scream Queens,604,432
11/1/2015,Shark Tank,115,87
11/1/2015,Supernatural,2,2
11/1/2015,Survivor,130,83
11/1/2015,The Big Bang Theory,44,33
11/1/2015,The Flash,526,368
11/1/2015,The Goldbergs,1,1
11/1/2015,The Good Wife,1432,565
11/1/2015,The Grinder,21,21
11/1/2015,The Last Man on Earth,35,30
11/1/2015,The Middle,11,11
11/1/2015,The Muppets,35,25
11/1/2015,The Originals,2,2
11/1/2015,The Simpsons,64,54
11/1/2015,The Vampire Diaries,1,1
11/1/2015,The Voice,235,177
11/1/2015,The Walking Dead,89,89
11/1/2015,iZombie,133,77
11/2/2015,60 Minutes,166,120
11/2/2015,Agents of SHIELD,195,146
11/2/2015,America's Funniest Home Videos,18,13
11/2/2015,American Horror Story,1,1
11/2/2015,Arrow,8,8
11/2/2015,Best Time Ever,37,25
11/2/2015,Blindspot,4368,969
11/2/2015,Blood & Oil,105,60
11/2/2015,Bob's Burgers,153,146
11/2/2015,Bones,1,1
11/2/2015,Brooklyn Nine-Nine,23,19
11/2/2015,CSI: Cyber,101,90
11/2/2015,Castle,370,180
11/2/2015,Chicago Fire,133,98
11/2/2015,Crazy Ex-Girlfriend,875,380
11/2/2015,Dancing with the Stars,16286,5526
11/2/2015,Empire,1,1
11/2/2015,Family Guy,62,58
11/2/2015,Fresh Off the Boat,81,67
11/2/2015,Gotham,11348,2860
11/2/2015,Grandfathered,87,53
11/2/2015,Heroes Reborn,1,1
11/2/2015,Jane the Virgin,3997,1646
11/2/2015,Life in Pieces,11,8
11/2/2015,Limitless,60,50
11/2/2015,Madam Secretary,38,29
11/2/2015,Minority Report,3736,465
11/2/2015,NCIS,89,52
11/2/2015,NCIS: Los Angeles,801,228
11/2/2015,NCIS: New Orleans,9,8
11/2/2015,Once Upon a Time,1482,863
11/2/2015,Quantico,415,288
11/2/2015,Rosewood,26,21
11/2/2015,Scandal,1,1
11/2/2015,Scorpion,1781,402
11/2/2015,Scream Queens,1197,817
11/2/2015,Shark Tank,92,76
11/2/2015,Sleepy Hollow,2,2
11/2/2015,Survivor,346,243
